"entrées et plats composés";"salades composées et crudités";"-";"Taboulé ou Salade de couscous au poulet, préemballé";"-";"62,6";"6,4";"20,6";"7,45";"2,48";"16,6";"2,02";"0";"0,86";"3,78";"1,75";"1,05";"18";"661";"0,1";"0,8";"< 20";"24";"0,32";"100";"190";"< 20";"424";"0,65";"< 21";"135";"< 0,25";"1,48";"3,22";"-";"< 0,5";"0,14";"0,045";"1,16";"0,4";"0,096";"96,5";"0,1"
"entrées et plats composés";"soupes";"-";"Soupe aux lentilles, préemballée à réchauffer";"53,2";"85,8";"3,28";"6,6";"1,12";"0,7";"-";"1,8";"0";"0,45";"0,52";"0,13";"0,36";"25";"-";"0,17";"1,07";"4";"19";"0,24";"74";"144";"16,1";"143";"0,61";"0";"430";"-";"0";"-";"-";"1,7";"0,07";"0,045";"0,55";"0,14";"0,09";"20";"0,12"
"entrées et plats composés";"soupes";"-";"Soupe à la volaille et aux légumes, préemballée à réchauffer";"30,8";"-";"3,09";"2,6";"0,8";"1,2";"-";"0,4";"0";"0,3";"-";"-";"1,75";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"700";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1,9";"-";"-";"-";"0,11"
"entrées et plats composés";"soupes";"-";"Soupe aux légumes variés, préemballée à réchauffer";"39,4";"90,2";"0,76";"5,05";"1,56";"1,72";"2,2";"1,1";"0";"0,55";"0,5";"0,11";"0,69";"14";"442";"0,02";"0,14";"< 20";"5,3";"0,04";"19";"110";"< 20";"275";"0,11";"< 21";"1710";"0";"0,62";"2,53";"-";"5,75";"0,29";"0,062";"0,31";"0,33";"0,16";"39,8";"0,052"
"entrées et plats composés";"soupes";"-";"Soupe de poissons et / ou crustacés, préemballée à réchauffer";"42,8";"89,4";"3,45";"2,88";"1,79";"0,9";"1,7";"0,69";"0";"0,58";"0,93";"0,25";"0,86";"130";"611";"0,07";"0,61";"70";"11";"0,05";"80";"110";"< 20";"343";"0,25";"59,8";"446";"< 0,2";"0,32";"0,93";"-";"< 0,5";"0,03";"0,039";"0,63";"0,18";"0,032";"< 5";"1,35"
"entrées et plats composés";"soupes";"-";"Soupe aux légumes variés, déshydratée reconstituée";"34,5";"90,9";"0,86";"4,43";"1,22";"1,07";"2,6";"1,16";"0";"0,39";"0,45";"0,091";"0,69";"21";"426";"0,03";"0,19";"1";"7";"0,05";"12,5";"60";"< 20";"276";"0,12";"< 21";"261";"0";"0,19";"2,42";"-";"3,28";"0,05";"0,24";"0,13";"0,12";"0,044";"8,4";"0,029"
"entrées et plats composés";"soupes";"-";"Soupe aux poireaux et pommes de terre, préemballée à réchauffer";"37,1";"90,8";"0,79";"4,46";"1,51";"0,81";"3,2";"1,28";"0";"0,6";"0,53";"0,27";"0,73";"16";"450";"0,02";"0,17";"< 20";"5,6";"0,04";"16";"94";"< 20";"290";"0,13";"< 21";"120";"-";"0,28";"9,13";"-";"7,95";"0,01";"0,03";"0,23";"0,14";"0,23";"29,3";"0,045"
"entrées et plats composés";"soupes";"-";"Soupe à la volaille et aux vermicelles, préemballée à réchauffer";"30,8";"93,5";"1,3";"3,86";"1";"0,77";"-";"0,56";"0";"0,49";"0,29";"0,18";"0,82";"7,96";"-";"0,069";"0,14";"0,5";"7,93";"0,057";"17";"30,5";"< 10";"326";"0,1";"1";"119";"0";"0,03";"0";"-";"-";"0,055";"0,045";"0,54";"0,074";"0,02";"2";"0,02"
"entrées et plats composés";"soupes";"-";"Bouillon de viande et légumes type pot-au-feu, prêt à consommer";"5,78";"98,1";"0,44";"0,1";"0,4";"0";"0,1";"0";"0";"0,2";"0,09";"0,05";"1,08";"1";"-";"0";"0,1";"-";"2";"0,01";"1";"15";"0";"430";"-";"0";"-";"-";"-";"-";"-";"0";"0,06";"0,01";"0";"0,02";"0,01";"12";"0,05"
"entrées et plats composés";"soupes";"-";"Soupe à l'oignon, préemballée à réchauffer";"40,4";"92,7";"1,35";"4,93";"1,4";"1,5";"-";"1,34";"0";"0,55";"-";"0,26";"0,79";"12";"-";"0,054";"0,27";"-";"1";"0,098";"4";"28";"-";"315";"0,25";"1";"1";"0";"0,11";"0,2";"-";"0,5";"0,013";"0,01";"0,24";"0";"0,02";"6";"0"
