"entrées et plats composés"
"fruits, légumes, légumineuses et oléagineux"
"produits céréaliers"
"viandes, œufs, poissons"
"lait et produits laitiers"
"boissons"
"produits sucrés"
"glaces et sorbets"
"matières grasses"
"aides culinaires et ingrédients divers"
"aliments infantiles"
